Article,weight,Act
ANNEX VI,0.99999005,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02019R0815-20200101.json
ANNEX II,0.99949175,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02019R0815-20200101.json
ANNEX I,0.8552574,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02019R0815-20200101.json
Article 20,0.759259,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32015R0760.json
Article 2,0.73155946,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32017R0747.json
Article 2,0.72145766,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02019R0815-20200101.json
Article 12,0.7139054,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014R1286-20190801.json
Article 35,0.70051956,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 104,0.6953226,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0231-20200401.json
ANNEX IV,0.6505611,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02019R0815-20200101.json
Article 38,0.6450581,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 5,0.6439114,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32016R0200.json
Article 74,0.60272205,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0231-20200401.json
Article 16,0.5767878,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32015R0760.json
ANNEX II,0.54637575,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02015R0534-20200601.json
Article 37,0.54591644,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 34,0.54076177,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 40,0.5233051,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
ANNEX I,0.5130829,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02015R0534-20200601.json
Article 22,0.51146644,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32015R0760.json
ANNEX IV,0.51127934,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02015R0534-20200601.json
Article 4,0.50663966,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02019R0815-20200101.json
ANNEX V,0.5047005,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02015R0534-20200601.json
Article 5,0.4991716,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32006R1287.json
Article 468,0.4730291,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 12,0.46707478,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02008L0048-20190726.json
Article 2,0.45282286,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32013R1423.json
Article 33,0.44908267,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 46,0.446256,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32013R0153.json
Article 87,0.44275695,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02009L0065-20200107.json
Article 168,0.43859598,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 3,0.43097144,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32018R0072.json
Article 39,0.41550028,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 447,0.41358125,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 434,0.41128817,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 32,0.41093293,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 432,0.4077874,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 4,0.38794413,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32016R0200.json
Article 4,0.3804301,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32018R0480.json
Article 316,0.37162995,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
